Name	Url	Description	DataTypes	DefaultTask	AttributeTypes	NumberOfInstances	NumberOfAttributes	Year	Category
SIFT10M	https://archive.ics.uci.edu/ml/datasets/SIFT10M	In SIFT10M, each data point is a SIFT feature which is extracted from Caltech-256 by the open source VLFeat library. The corresponding patches of the SIFT features are provided.	Multivariate 	Causal-Discovery 	Integer 	11164866 	128 	2016 	Computer
GPS Trajectories	https://archive.ics.uci.edu/ml/datasets/GPS+Trajectories	The dataset has been feed by Android app called Go!Track. It is available at Goolge Play Store(https://play.google.com/store/apps/details?id=com.go.router).	Multivariate 	Classification, Regression 	Real 	163 	15 	2016 	Computer
Detect Malacious Executable(AntiVirus)	https://archive.ics.uci.edu/ml/datasets/Detect+Malacious+Executable%28AntiVirus%29	I extract features from malacious and non-malacious and create and training dataset to teach svm classifier.Dataset made of unknown executable to detect if it is virus or normal safe executable.	Multivariate 	Classification 	Real 	373 	513 	2016 	Computer
Occupancy Detection	https://archive.ics.uci.edu/ml/datasets/Occupancy+Detection+	Experimental data used for binary classification (room occupancy) from Temperature,Humidity,Light and CO2. Ground-truth occupancy was obtained from time stamped pictures that were taken every minute.	Multivariate, Time-Series 	Classification 	Real 	20560 	7 	2016 	Computer
Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinsonâ€™s Disease	https://archive.ics.uci.edu/ml/datasets/Improved+Spiral+Test+Using+Digitized+Graphics+Tablet+for+Monitoring+Parkinson%E2%80%99s+Disease	Handwriting database consists of 25 PWP(People with Parkinson) and 15 healthy individuals.Three types of recordings (Static Spiral Test, Dynamic Spiral Test and Stability Test) are taken.	Multivariate 	Classification, Regression, Clustering 	Real 	40 	7 	2016 	Computer
News Aggregator	https://archive.ics.uci.edu/ml/datasets/News+Aggregator	References to news pages collected from an web aggregator in the period from 10-March-2014 to 10-August-2014. The resources are grouped into clusters that represent pages discussing the same story.	Multivariate 	Classification, Clustering 		422937 	5 	2016 	Other
Air Quality	https://archive.ics.uci.edu/ml/datasets/Air+Quality	Contains the responses of a gas multisensor device deployed on the field in an Italian city. Hourly responses averages are recorded along with gas concentrations references from a certified analyzer.	Multivariate, Time-Series 	Regression 	Real 	9358 	15 	2016 	Computer
Twin gas sensor arrays	https://archive.ics.uci.edu/ml/datasets/Twin+gas+sensor+arrays	5 replicates of an 8-MOX gas sensor array were exposed to different gas conditions (4 volatiles at 10 concentration levels each).	Multivariate, Time-Series, Domain-Theory 	Classification, Regression 	Real 	640 	480000 	2016 	Computer
Gas sensors for home activity monitoring	https://archive.ics.uci.edu/ml/datasets/Gas+sensors+for+home+activity+monitoring	100 recordings of a sensor array under different conditions in a home setting: background, wine and banana presentations. The array includes 8 MOX gas sensors, and humidity and temperature sensors.	Multivariate, Time-Series 	Classification 	Real 	919438 	11 	2016 	Computer
Facebook Comment Volume Dataset	https://archive.ics.uci.edu/ml/datasets/Facebook+Comment+Volume+Dataset	Instances in this dataset contain features extracted from facebook posts. The task associated with the data is to predict how many comments the post will receive.	Multivariate 	Regression 	Integer, Real 	40949 	54 	2016 	Other
Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL)	https://archive.ics.uci.edu/ml/datasets/Smartphone+Dataset+for+Human+Activity+Recognition+%28HAR%29+in+Ambient+Assisted+Living+%28AAL%29	This data is an addition to an existing dataset on UCI. We collected more data to improve the accuracy of our human activity recognition algorithms applied in the domain of Ambient Assisted Living.	Time-Series 	Classification 	Real 	5744 	561 	2016 	Computer
Polish companies bankruptcy data	https://archive.ics.uci.edu/ml/datasets/Polish+companies+bankruptcy+data	The dataset is about bankruptcy prediction of Polish companies.The bankrupt companies were analyzed in the period 2000-2012, while the still operating companies were evaluated from 2007 to 2013.	Multivariate 	Classification 	Real 	10503 	64 	2016 	Business
Activity Recognition system based on Multisensor data fusion (AReM)	https://archive.ics.uci.edu/ml/datasets/Activity+Recognition+system+based+on+Multisensor+data+fusion+%28AReM%29	This dataset contains temporal data from a Wireless Sensor Network worn by an actor performing the activities: bending, cycling, lying down, sitting, standing, walking.	Multivariate, Sequential, Time-Series 	Classification 	Real 	42240 	6 	2016 	Computer
Dota2 Games Results	https://archive.ics.uci.edu/ml/datasets/Dota2+Games+Results	Dota 2 is a popular computer game with two teams of 5 players. At the start of the game each player chooses a unique hero with different strengths and weaknesses.	Multivariate 	Classification 		102944 	116 	2016 	Game
Facebook metrics	https://archive.ics.uci.edu/ml/datasets/Facebook+metrics	Facebook performance metrics of a renowned cosmetic's brand Facebook page.	Multivariate 	Regression 	Integer 	500 	19 	2016 	Business
UbiqLog (smartphone lifelogging)	https://archive.ics.uci.edu/ml/datasets/UbiqLog+%28smartphone+lifelogging%29	UbiqLog is the smartphone lifelogging tool that runs on the smartphone of 35 users for about 2 months.	Multivariate 	Causal-Discovery 		9782222 		2016 	Computer
NIPS Conference Papers 1987-2015	https://archive.ics.uci.edu/ml/datasets/NIPS+Conference+Papers+1987-2015	This data set contains the distribution of words in the full text of the NIPS conference papers published from 1987 to 2015.	Text 	Clustering 	Integer 	11463 	5812 	2016 	Computer
HTRU2	https://archive.ics.uci.edu/ml/datasets/HTRU2	Pulsar candidates collected during the HTRU survey. Pulsars are a type of star, of considerable scientific interest. Candidates must be classified in to pulsar and non-pulsar classes to aid discovery.	Multivariate 	Classification, Clustering 	Real 	17898 	9 	2017 	Physical
Drug consumption (quantified)	https://archive.ics.uci.edu/ml/datasets/Drug+consumption+%28quantified%29	Classify type of drug consumer by personality data	Multivariate 	Classification 	Real 	1885 	32 	2016 	Social
Appliances energy prediction	https://archive.ics.uci.edu/ml/datasets/Appliances+energy+prediction	Experimental data used to create regression models of appliances energy use in a low energy building.	Multivariate, Time-Series 	Regression 	Real 	19735 	29 	2017 	Computer
Miskolc IIS Hybrid IPS	https://archive.ics.uci.edu/ml/datasets/Miskolc+IIS+Hybrid+IPS	The dataset was created for the comparison and evaluation of hybrid indoor positioning methods. The dataset presented contains data from W-LAN and Bluetooth interfaces, and Magnetometer.	Text 	Classification, Clustering, Causal-Discovery 	Integer 	1540 	67 	2016 	Computer
KDC-4007 dataset Collection	https://archive.ics.uci.edu/ml/datasets/KDC-4007+dataset+Collection	KDC-4007 dataset Collection is the Kurdish Documents Classification text used in categories regarding Kurdish Sorani news and articles.	Multivariate, Text 	Classification, Regression 	Integer 	4007 		2017 	Computer
Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone	https://archive.ics.uci.edu/ml/datasets/Geo-Magnetic+field+and+WLAN+dataset+for+indoor+localisation+from+wristband+and+smartphone	A multisource and multivariate dataset for indoor localisation methods based on WLAN and Geo-Magnetic ï¬eld ï¬ngerprinting	Multivariate, Sequential, Time-Series 	Classification, Regression, Clustering 	Integer, Real 	153540 	25 	2017 	Computer
DrivFace	https://archive.ics.uci.edu/ml/datasets/DrivFace	The DrivFace contains images sequences of subjects while driving in real scenarios. It is composed of 606 samples of 640Ã—480, acquired over different days from 4 drivers with several facial features.	Multivariate 	Classification, Regression, Clustering 	Real 	606 	6400 	2016 	Computer
Website Phishing	https://archive.ics.uci.edu/ml/datasets/Website+Phishing		Multivariate 	Classification 	Integer 	1353 	10 	2016 	Computer
YouTube Spam Collection	https://archive.ics.uci.edu/ml/datasets/YouTube+Spam+Collection	It is a public set of comments collected for spam research. It has five datasets composed by 1,956 real messages extracted from five videos that were among the 10 most viewed on the collection period.	Text 	Classification 		1956 	5 	2017 	Computer
Beijing PM2.5 Data	https://archive.ics.uci.edu/ml/datasets/Beijing+PM2.5+Data	This hourly data set contains the PM2.5 data of US Embassy in Beijing. Meanwhile, meteorological data from Beijing Capital International Airport are also included.	Multivariate, Time-Series 	Regression 	Integer, Real 	43824 	13 	2017 	Physical
Cargo 2000 Freight Tracking and Tracing	https://archive.ics.uci.edu/ml/datasets/Cargo+2000+Freight+Tracking+and+Tracing	Sanitized and anonymized Cargo 2000 (C2K) airfreight tracking and tracing events, covering five months of business execution (3,942 process instances, 7,932 transport legs, 56,082 activities).	Multivariate, Sequential 	Classification, Regression 	Integer 	3942 	98 	2016 	Business
Cervical cancer (Risk Factors)	https://archive.ics.uci.edu/ml/datasets/Cervical+cancer+%28Risk+Factors%29	This dataset focuses on the prediction of indicators/diagnosis of cervical cancer. The features cover demographic information, habits, and historic medical records.	Multivariate 	Classification 	Integer, Real 	858 	36 	2017 	Life
Quality Assessment of Digital Colposcopies	https://archive.ics.uci.edu/ml/datasets/Quality+Assessment+of+Digital+Colposcopies	This dataset explores the subjective quality assessment of digital colposcopies.	Multivariate 	Classification 	Real 	287 	69 	2017 	Life
KASANDR	https://archive.ics.uci.edu/ml/datasets/KASANDR	KASANDR is a novel, publicly available collection for recommendation systems that records the behavior of customers of the European leader in e-Commerce advertising, Kelkoo.	Multivariate 	Causal-Discovery 	Integer 	17764280 	2158859 	2017 	Life
FMA: A Dataset For Music Analysis	https://archive.ics.uci.edu/ml/datasets/FMA%3A+A+Dataset+For+Music+Analysis	FMA features 106,574 tracks and includes song title, album, artist, genres; play counts, favorites, comments; description, biography, tags; together with audio (343 days, 917 GiB) and features.	Multivariate, Time-Series 	Classification, Clustering 	Real 	106574 	518 	2017 	Computer
Air quality	https://archive.ics.uci.edu/ml/datasets/Air+quality	Contains the responses of a gas multisensor device deployed on the field in an Italian city.	Multivariate, Time-Series 	Regression 	Real 	9358 	15 	2016 	Other
Epileptic Seizure Recognition	https://archive.ics.uci.edu/ml/datasets/Epileptic+Seizure+Recognition	This dataset is a pre-processed and re-structured/reshaped version of a very commonly used dataset featuring epileptic seizure detection.	Multivariate, Time-Series 	Classification, Clustering 	Integer, Real 	11500 	179 	2017 	Life
Devanagari Handwritten Character Dataset	https://archive.ics.uci.edu/ml/datasets/Devanagari+Handwritten+Character+Dataset	This is an image database of Handwritten Devanagari characters. There are 46 classes of characters with 2000 examples each. The dataset is split into training set(85%) and testing set(15%).		Classification 	Integer 	92000 		2016 	Computer
Stock portfolio performance	https://archive.ics.uci.edu/ml/datasets/Stock+portfolio+performance	The data set of performances of weighted scoring stock portfolios are obtained with mixture design from the US stock market historical database.	Multivariate 	Regression 	Real 	315 	12 	2016 	Business
MoCap Hand Postures	https://archive.ics.uci.edu/ml/datasets/MoCap+Hand+Postures	5 types of hand postures from 12 users were recorded using unlabeled markers attached to fingers of a glove in a motion capture environment. Due to resolution and occlusion, missing values are common.	Multivariate 	Classification, Clustering 	Integer, Real 	78095 	38 	2016 	Computer
Early biomarkers of Parkinsonï¿½s disease based on natural connected speech	https://archive.ics.uci.edu/ml/datasets/Early+biomarkers+of+Parkinson%92s+disease+based+on+natural+connected+speech	Predict a pattern of neurodegeneration in the dataset of speech features obtained from patients with early untreated Parkinsonâ€™s disease and patients at high risk developing Parkinsonâ€™s disease.	Multivariate 	Classification, Regression 	Integer, Real 	130 	65 	2017 	Life
Data for Software Engineering Teamwork Assessment in Education Setting	https://archive.ics.uci.edu/ml/datasets/Data+for+Software+Engineering+Teamwork+Assessment+in+Education+Setting	Data include over 100 Team Activity Measures and outcomes (ML classes) obtained from activities of 74 student teams during the creation of final class project in SW Eng. classes at SFSU, Fulda, FAU	Sequential, Time-Series 	Classification 	Integer, Real 	74 	102 	2017 	Computer
PM2.5 Data of Five Chinese Cities	https://archive.ics.uci.edu/ml/datasets/PM2.5+Data+of+Five+Chinese+Cities	This hourly data set contains the PM2.5 data in Beijing, Shanghai, Guangzhou, Chengdu and Shenyang. Meanwhile, meteorological data for each city are also included.	Multivariate, Time-Series 	Regression 	Integer, Real 	52854 	86 	2017 	Physical
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet	https://archive.ics.uci.edu/ml/datasets/Parkinson+Disease+Spiral+Drawings+Using+Digitized+Graphics+Tablet	Handwriting database consists of 62 PWP(People with Parkinson) and 15 healthy individuals. Three types of recordings (Static Spiral Test, Dynamic Spiral Test and Stability Test) are taken.	Multivariate 	Classification, Regression, Clustering 	Integer 	77 	7 	2017 	Computer
Sales_Transactions_Dataset_Weekly	https://archive.ics.uci.edu/ml/datasets/Sales_Transactions_Dataset_Weekly	Contains weekly purchased quantities of 800 over products over 52 weeks. Normalised values are provided too.	Multivariate, Time-Series 	Clustering 	Integer, Real 	811 	53 	2017 	
Las Vegas Strip	https://archive.ics.uci.edu/ml/datasets/Las+Vegas+Strip	This dataset includes quantitative and categorical features from online reviews from 21 hotels located in Las Vegas Strip, extracted from TripAdvisor (http://www.tripadvisor.com).		Classification, Regression 	Integer 	504 	20 	2017 	Business
Eco-hotel	https://archive.ics.uci.edu/ml/datasets/Eco-hotel	This dataset includes Online Textual Reviews from both online (e.g., TripAdvisor) and offline (e.g., Guests' book) sources from the Areias do Seixo Eco-Resort.	Text 			401 	1 	2017 	Business
MEU-Mobile KSD	https://archive.ics.uci.edu/ml/datasets/MEU-Mobile+KSD	This dataset contains keystroke dynamics data collected on a touch mobile device (Nexus 7). The dataset contains 2856 records, 51 records per subject for 56 subjects.	Multivariate 	Classification 	Integer, Real 	2856 	71 	2016 	Computer
Crowdsourced Mapping	https://archive.ics.uci.edu/ml/datasets/Crowdsourced+Mapping	Crowdsourced data from OpenStreetMap is used to automate the classification of satellite images into different land cover classes (impervious, farm, forest, grass, orchard, water).	Multivariate 	Classification 		10546 	29 	2016 	Physical
gene expression cancer RNA-Seq	https://archive.ics.uci.edu/ml/datasets/gene+expression+cancer+RNA-Seq	This collection of data is part of the RNA-Seq (HiSeq) PANCAN data set, it is a random extraction of gene expressions of patients having different types of tumor: BRCA, KIRC, COAD, LUAD and PRAD.	Multivariate 	Classification, Clustering 	Real 	801 	20531 	2016 	Life
Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer	https://archive.ics.uci.edu/ml/datasets/Hybrid+Indoor+Positioning+Dataset+from+WiFi+RSSI%2C+Bluetooth+and+magnetometer	The dataset was created for the comparison and evaluation of hybrid indoor positioning methods. The dataset presented contains data from W-LAN and Bluetooth interfaces, and Magnetometer.	Multivariate, Sequential, Time-Series 	Classification 	Real 	1540 	65 	2016 	Computer
chestnut â€“ LARVIC	https://archive.ics.uci.edu/ml/datasets/chestnut+%E2%80%93+LARVIC	The research project presents this database, shows the images of chestnuts that will be processed to determine the presence or absence of defects		Classification, Clustering 		1451 	3 	2017 	Computer
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network	https://archive.ics.uci.edu/ml/datasets/Burst+Header+Packet+%28BHP%29+flooding+attack+on+Optical+Burst+Switching+%28OBS%29+Network	One of the primary challenges in identifying the risks of the Burst Header Packet (BHP) flood attacks in Optical Burst Switching networks (OBS) is the scarcity of reliable historical data.	Text 	Classification 	Integer 	1075 	22 	2017 	Computer
Motion Capture Hand Postures	https://archive.ics.uci.edu/ml/datasets/Motion+Capture+Hand+Postures	5 types of hand postures from 12 users were recorded using unlabeled markers on fingers of a glove in a motion capture environment. Due to resolution and occlusion, missing values are common.	Multivariate 	Classification, Clustering 	Real 	78095 	38 	2017 	Computer
Anuran Calls (MFCCs)	https://archive.ics.uci.edu/ml/datasets/Anuran+Calls+%28MFCCs%29	Acoustic features extracted from syllables of anuran (frogs) calls, including the family, the genus, and the species labels (multilabel).	Multivariate 	Classification, Clustering 	Real 	7195 	22 	2017 	Life
TTC-3600: Benchmark dataset for Turkish text categorization	https://archive.ics.uci.edu/ml/datasets/TTC-3600%3A+Benchmark+dataset+for+Turkish+text+categorization	The TTC-3600 data set is a collection of Turkish news and articles including categorized 3,600 documents from 6 well-known portals in Turkey. It has 4 different forms in ARFF Weka format.	Text 	Classification, Clustering 	Integer 	3600 	4814 	2017 	Computer
Gastrointestinal Lesions in Regular Colonoscopy	https://archive.ics.uci.edu/ml/datasets/Gastrointestinal+Lesions+in+Regular+Colonoscopy	This dataset contains features extracted from colonoscopy videos used to detect gastrointestinal lesions. It contains 76 lesions: 15 serrated adenomas, 21 hyperplastic lesions and 40 adenoma.	Multivariate 	Classification 	Real 	76 	698 	2016 	Computer
Daily Demand Forecasting Orders	https://archive.ics.uci.edu/ml/datasets/Daily+Demand+Forecasting+Orders	The dataset was collected during 60 days, this is a real database of a brazilian logistics company.	Time-Series 	Regression 	Integer 	60 	13 	2017 	Business
Paper Reviews	https://archive.ics.uci.edu/ml/datasets/Paper+Reviews	This sentiment analysis data set contains scientific paper reviews from an international conference on computing and informatics. The task is to predict the orientation or the evaluation of a review.	Text 	Classification, Regression 	Integer 	405 	10 	2017 	Computer
extention of Z-Alizadeh sani dataset	https://archive.ics.uci.edu/ml/datasets/extention+of+Z-Alizadeh+sani+dataset	It was collected for CAD diagnosis.		Classification 	Integer, Real 	303 	59 	2017 	Life
Z-Alizadeh Sani	https://archive.ics.uci.edu/ml/datasets/Z-Alizadeh+Sani	It was collected for CAD diagnosis.		Classification 	Integer, Real 	303 	56 	2017 	Life
Dynamic Features of VirusShare Executables	https://archive.ics.uci.edu/ml/datasets/Dynamic+Features+of+VirusShare+Executables	This dataset contains the dynamic features of 107,888 executables, collected by VirusShare from Nov/2010 to Jul/2014.	Multivariate, Time-Series 	Classification, Regression 	Integer 	107888 	482 	2017 	Computer
IDA2016Challenge	https://archive.ics.uci.edu/ml/datasets/IDA2016Challenge	The dataset consists of data collected from heavy Scania trucks in everyday usage.	Multivariate 	Classification 	Integer 	76000 	171 	2017 	Computer
DSRC Vehicle Communications	https://archive.ics.uci.edu/ml/datasets/DSRC+Vehicle+Communications	This set Provides data regarding wireless communications between vehicles and road side units. two separate data sets are provided (normal scenario) and in the presence of attacker (jammer).	Sequential, Text 	Clustering 	Real 	10000 	5 	2017 	Computer
Mturk User-Perceived Clusters over Images	https://archive.ics.uci.edu/ml/datasets/Mturk+User-Perceived+Clusters+over+Images	This dataset was collected by Shan-Hung Wu and DataLab members at NTHU, Taiwan. There're 325 user-perceived clusters from 100 users and their corresponding descriptions.	Multivariate, Text 	Clustering 	Integer 	180 	500 	2016 	Computer
Character Font Images	https://archive.ics.uci.edu/ml/datasets/Character+Font+Images	Character images from scanned and computer generated fonts.	Multivariate 	Classification 	Integer, Real 	745000 	411 	2016 	Computer
DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels	https://archive.ics.uci.edu/ml/datasets/DeliciousMIL%3A+A+Data+Set+for+Multi-Label+Multi-Instance+Learning+with+Instance+Labels	This dataset includes 1) 12234 documents (8251 training, 3983 test) extracted from DeliciousT140 dataset, 2) class labels for all documents, 3) labels for a subset of sentences of the test documents.	Text 	Classification 	Integer 	12234 	8519 	2016 	Computer
Autistic Spectrum Disorder Screening Data for Children	https://archive.ics.uci.edu/ml/datasets/Autistic+Spectrum+Disorder+Screening+Data+for+Children++	Children screening data for autism suitable for classification and predictive tasks	Multivariate 	Classification 	Integer 	292 	21 	2017 	Life
Autistic Spectrum Disorder Screening Data for Adolescent	https://archive.ics.uci.edu/ml/datasets/Autistic+Spectrum+Disorder+Screening+Data+for+Adolescent+++	Autistic Spectrum Disorder Screening Data for Adolescent. This dataset is related to classification and predictive tasks.	Multivariate 	Classification 	Integer 	104 	21 	2017 	Life
APS Failure at Scania Trucks	https://archive.ics.uci.edu/ml/datasets/APS+Failure+at+Scania+Trucks	The datasets' positive class consists of component failures for a specific component of the APS system. The negative class consists of trucks with failures for components not related to the APS.	Multivariate 	Classification 	Integer, Real 	60000 	171 	2017 	Computer
Wireless Indoor Localization	https://archive.ics.uci.edu/ml/datasets/Wireless+Indoor+Localization	Collected in indoor space by observing signal strengths of seven WiFi signals visible on a smartphone. The decision variable is one of the four rooms.	Multivariate 	Classification 	Real 	2000 	7 	2017 	Computer
HCC Survival	https://archive.ics.uci.edu/ml/datasets/HCC+Survival	Hepatocellular Carcinoma dataset (HCC dataset) was collected at a University Hospital in Portugal. It contains real clinical data of 165 patients diagnosed with HCC.	Multivariate 	Classification 	Integer, Real 	165 	49 	2017 	Life
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015	https://archive.ics.uci.edu/ml/datasets/CSM+%28Conventional+and+Social+Media+Movies%29+Dataset+2014+and+2015	12 features categorized as conventional and social media features. Both conventional features, collected from movies databases on Web as well as social media features(YouTube,Twitter).	Multivariate 	Classification, Regression 	Integer 	217 	12 	2017 	Computer
University of Tehran Question Dataset 2016 (UTQD.2016)	https://archive.ics.uci.edu/ml/datasets/University+of+Tehran+Question+Dataset+2016+%28UTQD.2016%29	Persian questions gathered from a jeopardy game broadcasted on Iranian national television.	Text 	Classification 		1175 	3 	2017 	Other
Autism Screening Adult	https://archive.ics.uci.edu/ml/datasets/Autism+Screening+Adult	Autistic Spectrum Disorder Screening Data for Adult. This dataset is related to classification and predictive tasks.		Classification 	Integer 	704 	21 	2017 	Social
Activity recognition with healthy older people using a batteryless wearable sensor	https://archive.ics.uci.edu/ml/datasets/Activity+recognition+with+healthy+older+people+using+a+batteryless+wearable+sensor	Sequential motion data from 14 healthy older people aged 66 to 86 years old using a batteryless, wearable sensor on top of their clothing for the recognition of activities in clinical environments.	Sequential 	Classification 	Real 	75128 	9 	2016 	Life
Immunotherapy Dataset	https://archive.ics.uci.edu/ml/datasets/Immunotherapy+Dataset	This dataset contains information about wart treatment results of 90 patients using immunotherapy.	Univariate 	Classification 	Integer, Real 	90 	8 	2018 	Life
Cryotherapy Dataset	https://archive.ics.uci.edu/ml/datasets/Cryotherapy+Dataset+	This dataset contains information about wart treatment results of 90 patients using cryotherapy.	Univariate 	Classification 	Integer, Real 	90 	7 	2018 	Life
OCT data & Color Fundus Images of Left & Right Eyes	https://archive.ics.uci.edu/ml/datasets/OCT+data+%26+Color+Fundus+Images+of+Left+%26+Right+Eyes	This dataset contains OCT data (in mat format) and color fundus data (in jpg format) of left & right eyes of 50 healthy persons.	Multivariate 	Classification 	Real 	50 	2 	2016 	Computer
Discrete Tone Image Dataset	https://archive.ics.uci.edu/ml/datasets/Discrete+Tone+Image+Dataset	Discrete Tone Images(DTI)are available which needs to be analyzed in detail. Here, we created this dataset for those who do research in DTI.	Multivariate 	Classification 		71 	11 	2018 	Computer
News Popularity in Multiple Social Media Platforms	https://archive.ics.uci.edu/ml/datasets/News+Popularity+in+Multiple+Social+Media+Platforms	Large data set of news items and their respective social feedback on multiple platforms: Facebook, Google+ and LinkedIn.	Multivariate, Time-Series, Text 	Regression 	Integer, Real 	93239 	11 	2018 	Computer
Ultrasonic flowmeter diagnostics	https://archive.ics.uci.edu/ml/datasets/Ultrasonic+flowmeter+diagnostics	Fault diagnosis of four liquid ultrasonic flowmeters	Multivariate 	Classification 	Real 	540 	173 	2018 	Computer
ICMLA 2014 Accepted Papers Data Set	https://archive.ics.uci.edu/ml/datasets/ICMLA+2014+Accepted+Papers+Data+Set	This data set compromises the metadata for the 2014 ICMLA conference's accepted papers, including ID, paper titles, author's keywords, abstracts and sessions in which they were exposed.	Multivariate 	Classification, Clustering 		105 	5 	2018 	Other
BLE RSSI Dataset for Indoor localization and Navigation	https://archive.ics.uci.edu/ml/datasets/BLE+RSSI+Dataset+for+Indoor+localization+and+Navigation	This dataset contains RSSI readings gathered from an array of Bluetooth Low Energy (BLE) iBeacons in a real-world and operational indoor environment for localization and navigation purposes.	Multivariate, Sequential, Time-Series 	Classification, Clustering 	Integer 	6611 	15 	2018 	Computer
Container Crane Controller Data Set	https://archive.ics.uci.edu/ml/datasets/Container+Crane+Controller+Data+Set	A container crane has the function of transporting containers from one point to another point.	Univariate, Domain-Theory 	Classification, Regression 	Real 	15 	3 	2018 	Computer
Residential Building Data Set	https://archive.ics.uci.edu/ml/datasets/Residential+Building+Data+Set	Data set includes construction cost, sale prices, project variables, and economic variables corresponding to real estate single-family residential apartments in Tehran, Iran.	Multivariate 	Regression 	Real 	372 	105 	2018 	Computer
Health News in Twitter	https://archive.ics.uci.edu/ml/datasets/Health+News+in+Twitter	The data was collected in 2015 using Twitter API. This dataset contains health news from more than 15 major health news agencies such as BBC, CNN, and NYT.	Text 	Clustering 	Real 	58000 	25000 	2018 	Computer
chipseq	https://archive.ics.uci.edu/ml/datasets/chipseq	ChIP-seq experiments characterize protein modifications or binding at specific genomic locations in specific samples. The machine learning problem in these data is structured binary classification.	Sequential 	Classification 	Integer 	4960 		2018 	Life
SGEMM GPU kernel performance	https://archive.ics.uci.edu/ml/datasets/SGEMM+GPU+kernel+performance	Running times for multiplying two 2048 x 2048 matrices using a GPU OpenCL SGEMM kernel with varying parameters (using the library 'CLTune').	Multivariate 	Regression 	Integer 	241600 	18 	2018 	Computer
Repeat Consumption Matrices	https://archive.ics.uci.edu/ml/datasets/Repeat+Consumption+Matrices	The dataset contains 7 datasets of User - Item matrices, where each entry represents how many times a user consumed an item. Item is used as an umbrella term for various categories.	Multivariate 	Clustering 	Real 	130000 	21000 	2018 	Computer
detection_of_IoT_botnet_attacks_N_BaIoT	https://archive.ics.uci.edu/ml/datasets/detection_of_IoT_botnet_attacks_N_BaIoT	This dataset addresses the lack of public botnet datasets, especially for the IoT. It suggests *real* traffic data, gathered from 9 commercial IoT devices authentically infected by Mirai and BASHLITE.	Multivariate, Sequential 	Classification, Clustering 	Real 	7062606 	115 	2018 	Computer
Absenteeism at work	https://archive.ics.uci.edu/ml/datasets/Absenteeism+at+work	The database was created with records of absenteeism at work from July 2007 to July 2010 at a courier company in Brazil.	Multivariate, Time-Series 	Classification, Clustering 	Integer, Real 	740 	21 	2018 	Business
SCADI	https://archive.ics.uci.edu/ml/datasets/SCADI	First self-care activities dataset based on ICF-CY.	Multivariate 	Classification, Clustering 		70 	206 	2018 	Life
Condition monitoring of hydraulic systems	https://archive.ics.uci.edu/ml/datasets/Condition+monitoring+of+hydraulic+systems	The data set addresses the condition assessment of a hydraulic test rig based on multi sensor data. Four fault types are superimposed with several severity grades impeding selective quantification.	Multivariate, Time-Series 	Classification, Regression 	Real 	2205 	43680 	2018 	Computer
Carbon Nanotubes	https://archive.ics.uci.edu/ml/datasets/Carbon+Nanotubes	This dataset contains 10721 initial and calculated atomic coordinates of carbon nanotubes.	Univariate 	Regression 	Real 	10721 	8 	2018 	Computer
Optical Interconnection Network	https://archive.ics.uci.edu/ml/datasets/Optical+Interconnection+Network+	This dataset contains 640 performance measurements from a simulation of 2-Dimensional Multiprocessor Optical Interconnection Network.	Multivariate 	Classification, Regression 	Integer, Real 	640 	10 	2018 	Computer
Sports articles for objectivity analysis	https://archive.ics.uci.edu/ml/datasets/Sports+articles+for+objectivity+analysis	1000 sports articles were labeled using Amazon Mechanical Turk as objective or subjective. The raw texts, extracted features, and the URLs from which the articles were retrieved are provided.	Multivariate, Text 	Classification 	Integer 	1000 	59 	2018 	Social
Breast Cancer Coimbra	https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Coimbra	Clinical features were observed or measured for 64 patients with breast cancer and 52 healthy controls.	Multivariate 	Classification 	Integer 	116 	10 	2018 	Life
GNFUV Unmanned Surface Vehicles Sensor Data	https://archive.ics.uci.edu/ml/datasets/GNFUV+Unmanned+Surface+Vehicles+Sensor+Data	The data-set contains four (4) sets of mobile sensor readings data (humidity, temperature) corresponding to a swarm of four (4) Unmanned Surface Vehicles (USVs) in a test-bed in Athens (Greece).	Multivariate, Time-Series 	Regression 	Real 	1672 	5 	2018 	Computer
Dishonest Internet users Dataset	https://archive.ics.uci.edu/ml/datasets/Dishonest+Internet+users+Dataset	The dataset was used to test an architecture based on a trust model capable to cope with the evaluation of the trustworthiness of users interacting in pervasive environments.	Multivariate 	Classification, Clustering 		322 	5 	2018 	Computer
Victorian Era Authorship Attribution	https://archive.ics.uci.edu/ml/datasets/Victorian+Era+Authorship+Attribution	To create the largest authorship attribution dataset, we extracted works of 50 well-known authors. To have a non-exhaustive learning, in training there are 45 authors whereas, in the testing, it's 50	Text 	Classification 		93600 	1000 	2018 	Computer
